               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076851,            0.032126,            0.054947,                   0,                   0,                   0,                   0,            0.010055,              0.0165,           0.0081133,              0.0991,              0.0001,              0.0001
                   1,            0.084432,             0.03372,            0.066816,                   0,                   0,                   0,                   0,            0.010007,            0.016408,           0.0080834,            0.097294,          0.00029406,          0.00029406
                   2,            0.088495,            0.026883,            0.073336,                   0,                   0,                   0,                   0,           0.0098341,            0.016323,           0.0080363,             0.09548,           0.0004802,           0.0004802
                   3,            0.070577,            0.026764,            0.051433,          6.0035e-05,            0.058824,          3.2131e-05,          3.2131e-06,           0.0094773,            0.016132,           0.0078547,            0.093658,          0.00065842,          0.00065842
                   4,            0.082751,            0.030609,            0.065296,                   0,                   0,                   0,                   0,           0.0088895,            0.015882,           0.0076044,            0.091829,          0.00082872,          0.00082872
                   5,            0.047714,            0.023103,            0.038795,                   0,                   0,                   0,                   0,           0.0088769,            0.016347,           0.0077154,            0.089991,           0.0009911,           0.0009911
                   6,            0.067944,            0.034498,            0.050992,                   0,                   0,                   0,                   0,           0.0079961,            0.016111,           0.0072945,            0.088146,           0.0011456,           0.0011456
                   7,            0.072856,            0.029441,            0.064597,           0.0003006,             0.35294,           0.0006108,          7.9015e-05,           0.0075889,            0.015497,            0.006845,            0.086292,           0.0012921,           0.0012921
                   8,            0.061859,            0.024799,             0.04905,          0.00024028,             0.29412,          0.00046961,          8.3126e-05,            0.007526,            0.015229,           0.0067144,            0.084431,           0.0014307,           0.0014307
                   9,            0.070227,            0.027947,            0.063619,          0.00018644,             0.23529,          0.00028989,          4.2213e-05,           0.0082569,            0.015371,           0.0068616,            0.082561,           0.0015614,           0.0015614
                  10,            0.062862,            0.035575,            0.044213,          0.00029762,             0.47059,          0.00048674,          7.7521e-05,           0.0076621,            0.015455,           0.0064402,            0.080684,           0.0016842,           0.0016842
                  11,            0.084375,            0.029287,            0.059075,          0.00041041,             0.76471,           0.0015794,          0.00046661,           0.0068058,            0.015327,           0.0059878,            0.078799,           0.0017991,           0.0017991
                  12,            0.048804,            0.024193,             0.04175,          0.00050724,                   1,           0.0018056,          0.00047699,           0.0060742,            0.014627,           0.0055154,            0.076906,            0.001906,            0.001906
                  13,            0.077377,             0.02871,            0.054007,          0.00044178,                   1,           0.0010153,          0.00037444,           0.0059083,            0.014301,           0.0051889,            0.075005,            0.002005,            0.002005
                  14,             0.06681,            0.033809,            0.047563,          0.00040656,                   1,           0.0019011,          0.00062931,           0.0059562,            0.013813,           0.0046382,            0.073096,           0.0020961,           0.0020961
                  15,            0.051234,            0.031223,            0.031285,          0.00037376,                   1,           0.0037301,           0.0013373,           0.0056886,            0.013578,             0.00407,            0.071179,           0.0021793,           0.0021793
                  16,            0.048294,             0.04037,            0.029548,          0.00033625,                   1,           0.0061799,           0.0026522,           0.0054981,            0.013299,           0.0033355,            0.069255,           0.0022546,           0.0022546
                  17,            0.058238,            0.028915,            0.034805,           0.0038236,             0.29412,           0.0070289,           0.0029703,            0.005545,              0.0131,            0.002899,            0.067322,           0.0023219,           0.0023219
                  18,            0.038179,            0.025157,            0.022135,           0.0052734,             0.29412,           0.0065441,           0.0024735,           0.0054013,            0.012893,           0.0024185,            0.065381,           0.0023813,           0.0023813
                  19,            0.044633,             0.03006,             0.02232,            0.010411,             0.29412,            0.009745,           0.0044367,           0.0053752,            0.012915,           0.0020086,            0.063433,           0.0024328,           0.0024328
                  20,            0.044953,            0.022021,             0.01711,            0.014181,             0.29412,            0.012729,           0.0064525,            0.005169,            0.013122,           0.0017075,            0.061476,           0.0024764,           0.0024764
                  21,            0.056374,            0.027285,            0.025394,            0.015681,             0.29412,            0.013155,           0.0059648,           0.0051083,            0.013409,           0.0015739,            0.059512,           0.0025121,           0.0025121
                  22,            0.052782,            0.026927,            0.021839,              0.0167,             0.29412,            0.013985,           0.0048696,           0.0052301,            0.013663,           0.0014818,             0.05754,           0.0025398,           0.0025398
                  23,            0.051353,             0.03539,            0.019891,            0.016936,             0.29412,            0.014947,            0.005424,           0.0048439,            0.014265,           0.0013802,             0.05556,           0.0025596,           0.0025596
                  24,            0.041591,            0.022666,            0.019104,           0.0063987,             0.82353,           0.0065543,           0.0023997,           0.0051805,            0.015117,           0.0014178,            0.053572,           0.0025715,           0.0025715
                  25,            0.064243,            0.027194,            0.032048,            0.016016,             0.29412,            0.011411,           0.0021393,           0.0055858,             0.01615,           0.0013544,            0.051576,           0.0025755,           0.0025755
                  26,            0.039068,            0.031658,            0.010642,            0.013493,             0.29412,           0.0097357,           0.0028433,           0.0049281,            0.016078,           0.0013964,            0.049572,           0.0025716,           0.0025716
                  27,            0.041778,            0.018424,            0.012178,            0.013493,             0.29412,           0.0097357,           0.0028433,           0.0049281,            0.016078,           0.0013964,             0.04756,           0.0025597,           0.0025597
                  28,            0.037431,            0.023422,            0.010389,            0.014931,             0.29412,            0.013174,           0.0043677,           0.0055045,            0.016626,           0.0012303,             0.04554,           0.0025399,           0.0025399
                  29,            0.050251,             0.02018,            0.011144,            0.014943,             0.29412,            0.011743,           0.0060586,           0.0048692,            0.016328,           0.0012412,            0.043512,           0.0025122,           0.0025122
                  30,            0.044134,            0.028321,            0.012334,            0.014943,             0.29412,            0.011743,           0.0060586,           0.0048692,            0.016328,           0.0012412,            0.041477,           0.0024766,           0.0024766
                  31,            0.051116,            0.023065,            0.016138,           0.0043695,             0.52941,           0.0038358,           0.0018996,           0.0049461,            0.015947,           0.0010776,            0.039433,           0.0024331,           0.0024331
                  32,            0.037815,            0.017552,           0.0076394,           0.0058652,             0.52941,           0.0052936,           0.0018422,           0.0061662,            0.016283,          0.00098499,            0.037382,           0.0023816,           0.0023816
                  33,             0.04802,            0.020542,            0.016271,           0.0058652,             0.52941,           0.0052936,           0.0018422,           0.0061662,            0.016283,          0.00098499,            0.035322,           0.0023222,           0.0023222
                  34,            0.044027,            0.023604,            0.014793,            0.018163,             0.29412,            0.013393,           0.0068833,            0.005355,            0.016147,          0.00095208,            0.033255,           0.0022549,           0.0022549
                  35,            0.047224,            0.023543,            0.010362,           0.0043547,             0.23529,           0.0037412,           0.0015872,           0.0046771,            0.015751,          0.00091272,             0.03118,           0.0021797,           0.0021797
                  36,              0.0535,            0.025479,            0.010032,           0.0043547,             0.23529,           0.0037412,           0.0015872,           0.0046771,            0.015751,          0.00091272,            0.029097,           0.0020966,           0.0020966
                  37,             0.04907,            0.018683,           0.0093689,             0.02087,             0.29412,            0.012737,            0.006522,           0.0048336,            0.015512,          0.00089135,            0.027006,           0.0020055,           0.0020055
                  38,            0.042076,            0.016231,           0.0079094,           0.0073994,             0.29412,           0.0063558,           0.0029943,           0.0047734,            0.015331,          0.00091569,            0.024907,           0.0019065,           0.0019065
                  39,            0.035701,            0.015233,           0.0063808,           0.0073994,             0.29412,           0.0063558,           0.0029943,           0.0047734,            0.015331,          0.00091569,              0.0228,           0.0017996,           0.0017996
