               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11334,            0.034922,             0.06118,           0.0011726,             0.19827,           0.0009014,          0.00018375,            0.057581,            0.033751,            0.043272,              0.0901,              0.0011,              0.0011
                   1,            0.086034,            0.041223,            0.056449,           0.0011676,             0.35022,           0.0028364,          0.00074427,            0.053989,            0.030875,            0.042991,            0.079254,           0.0022545,           0.0022545
                   2,            0.072625,             0.04191,            0.048957,             0.90443,             0.12568,             0.13907,            0.058567,            0.047165,            0.028658,            0.040357,            0.068361,           0.0033614,           0.0033614
                   3,            0.065001,            0.038617,            0.041971,             0.91963,             0.14286,             0.39455,            0.082716,            0.044838,            0.026703,            0.038327,            0.057421,           0.0044208,           0.0044208
                   4,            0.062019,            0.031381,            0.035577,                   1,             0.10614,             0.21411,            0.080969,            0.043891,            0.023433,            0.040174,            0.046433,           0.0054327,           0.0054327
                   5,             0.06191,            0.028271,            0.034266,             0.31806,                 0.4,             0.42269,             0.21856,             0.04442,            0.020855,            0.041378,            0.035397,           0.0063971,           0.0063971
                   6,            0.059114,            0.030032,             0.02914,             0.42593,             0.65931,             0.35855,             0.12984,            0.045566,            0.019138,            0.044044,            0.024314,            0.007314,            0.007314
                   7,            0.061975,            0.025957,            0.026564,             0.41337,             0.54099,             0.50116,             0.15633,             0.04142,            0.017201,            0.045864,            0.013183,           0.0081833,           0.0081833
                   8,            0.062668,            0.022563,            0.026816,             0.40183,             0.47143,             0.43911,             0.15819,            0.038936,            0.016435,            0.043599,            0.008416,            0.008416,            0.008416
                   9,            0.059265,            0.023453,            0.022673,             0.49983,             0.65502,             0.57386,             0.20921,             0.03852,            0.014391,            0.044339,            0.008416,            0.008416,            0.008416
                  10,            0.055168,            0.022932,            0.020952,             0.43722,             0.71515,             0.50948,             0.18809,            0.041288,            0.012654,            0.044454,            0.008218,            0.008218,            0.008218
                  11,            0.053747,            0.018588,            0.019956,             0.57556,             0.69091,             0.68192,             0.43024,             0.03392,            0.013611,            0.037686,             0.00802,             0.00802,             0.00802
                  12,            0.052357,            0.018878,            0.018206,              0.6521,                 0.6,             0.64335,             0.26928,            0.034758,            0.012967,             0.03423,            0.007822,            0.007822,            0.007822
                  13,            0.051198,            0.019523,            0.017021,             0.77448,                 0.6,             0.67502,             0.32058,            0.030749,            0.012978,            0.032898,            0.007624,            0.007624,            0.007624
                  14,             0.04994,             0.01801,            0.014587,             0.63324,             0.78359,              0.8202,             0.45631,            0.029416,            0.011742,            0.033388,            0.007426,            0.007426,            0.007426
                  15,            0.047111,            0.016105,            0.015214,             0.57575,              0.6508,             0.64926,             0.28173,            0.034608,            0.011018,            0.033538,            0.007228,            0.007228,            0.007228
                  16,               0.047,            0.016305,            0.011905,             0.97972,              0.5548,             0.76736,             0.36128,            0.033159,            0.010318,             0.03487,             0.00703,             0.00703,             0.00703
                  17,            0.041719,             0.01521,            0.010261,             0.57208,             0.77072,             0.77504,             0.44614,            0.027605,             0.01089,            0.034843,            0.006832,            0.006832,            0.006832
                  18,            0.037981,             0.01589,           0.0096087,             0.54743,             0.74416,             0.77195,             0.37204,            0.027989,            0.010543,            0.036009,            0.006634,            0.006634,            0.006634
                  19,            0.039684,            0.016122,           0.0090315,             0.72374,             0.78182,             0.78609,             0.44398,            0.027879,            0.010299,            0.035872,            0.006436,            0.006436,            0.006436
                  20,            0.035543,            0.014669,           0.0090529,             0.71994,             0.77703,             0.76775,             0.41892,             0.02958,             0.01016,            0.035104,            0.006238,            0.006238,            0.006238
                  21,            0.035214,             0.01448,           0.0085765,             0.71142,             0.71258,             0.77053,             0.49026,            0.028777,             0.01035,            0.032624,             0.00604,             0.00604,             0.00604
