               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10734,            0.027406,            0.037491,            0.002741,             0.54394,           0.0033754,          0.00072551,             0.05546,             0.02252,            0.024715,               0.082,               0.002,               0.002
                   1,            0.083675,            0.031977,            0.035066,            0.008747,             0.92273,            0.018929,           0.0078724,            0.042033,            0.021809,             0.02383,            0.063063,           0.0040631,           0.0040631
                   2,            0.068309,            0.028789,            0.033196,             0.06583,             0.90667,             0.20241,             0.06445,              0.0522,            0.017622,             0.02348,            0.044088,           0.0060884,           0.0060884
                   3,            0.063787,            0.026911,            0.030796,             0.26563,                 0.4,              0.2344,            0.069511,            0.041655,            0.017764,            0.023342,            0.025076,           0.0080759,           0.0080759
                   4,            0.062172,            0.024251,            0.030967,             0.76388,             0.33333,             0.38124,             0.15564,            0.036564,            0.015687,             0.02277,             0.00964,             0.00964,             0.00964
                   5,            0.057392,            0.024131,            0.029185,             0.97965,                 0.2,               0.469,             0.16638,            0.041402,            0.012297,            0.021867,             0.00964,             0.00964,             0.00964
                   6,            0.055584,            0.020841,             0.02766,             0.98715,             0.37677,             0.70523,             0.31726,            0.033017,            0.010506,            0.021752,             0.00955,             0.00955,             0.00955
                   7,            0.051893,            0.017569,            0.026311,             0.53558,             0.78182,             0.64616,             0.38027,            0.028345,           0.0095295,            0.020996,             0.00946,             0.00946,             0.00946
                   8,            0.047993,            0.016303,            0.025617,              0.9509,                 0.4,             0.67941,              0.2886,            0.026196,           0.0099887,             0.02017,             0.00937,             0.00937,             0.00937
                   9,            0.045407,            0.014681,            0.024117,             0.44737,                 0.8,             0.66304,             0.31416,            0.022147,           0.0081846,            0.019455,             0.00928,             0.00928,             0.00928
                  10,            0.042939,            0.014278,            0.023268,             0.65785,                 0.6,             0.64984,             0.28632,            0.027645,           0.0071813,            0.018876,             0.00919,             0.00919,             0.00919
                  11,            0.042167,            0.013737,             0.02091,             0.49137,                 0.8,             0.64545,             0.39164,             0.02137,           0.0073241,            0.017907,              0.0091,              0.0091,              0.0091
                  12,             0.03949,            0.011764,            0.020488,             0.73278,                 0.8,             0.68447,             0.45302,            0.019549,           0.0070599,            0.017519,             0.00901,             0.00901,             0.00901
                  13,             0.03813,            0.011697,              0.0194,             0.69747,                 0.8,             0.72783,             0.34222,            0.022953,            0.006675,            0.016709,             0.00892,             0.00892,             0.00892
                  14,            0.038302,            0.011807,            0.019294,             0.73597,             0.79107,             0.69738,             0.41132,            0.026073,           0.0066944,            0.016342,             0.00883,             0.00883,             0.00883
                  15,            0.037614,            0.011943,            0.018468,             0.73696,             0.78733,             0.69586,             0.36393,            0.021566,           0.0064416,            0.015383,             0.00874,             0.00874,             0.00874
                  16,            0.036354,            0.011358,            0.017174,             0.73419,                 0.8,             0.69855,             0.43279,            0.024868,           0.0068096,            0.014635,             0.00865,             0.00865,             0.00865
                  17,             0.03646,               0.012,            0.016974,             0.72022,             0.79598,             0.69004,             0.42414,            0.018004,           0.0062175,             0.01443,             0.00856,             0.00856,             0.00856
                  18,            0.034372,            0.010756,            0.015885,              0.7348,                 0.8,             0.85315,             0.53915,            0.020378,           0.0065055,             0.01422,             0.00847,             0.00847,             0.00847
                  19,            0.033631,            0.010956,            0.015354,             0.65756,                 0.8,             0.82817,             0.46578,            0.019201,           0.0062807,            0.014302,             0.00838,             0.00838,             0.00838
                  20,            0.032708,            0.010228,            0.014782,             0.69897,                 0.8,             0.85361,             0.55702,            0.018795,           0.0065108,            0.014036,             0.00829,             0.00829,             0.00829
                  21,            0.032352,            0.010674,            0.014204,             0.72146,                 0.8,             0.84617,             0.54779,            0.018364,           0.0063617,            0.013357,              0.0082,              0.0082,              0.0082
                  22,             0.03105,            0.010325,            0.013916,             0.71938,                   1,             0.83502,              0.6151,            0.018044,           0.0068733,            0.012915,             0.00811,             0.00811,             0.00811
                  23,            0.031632,            0.010094,            0.013496,             0.70884,                   1,             0.83953,             0.55983,            0.017485,           0.0064248,            0.012569,             0.00802,             0.00802,             0.00802
                  24,            0.030899,            0.010349,            0.012927,             0.71927,                   1,             0.85532,             0.62282,            0.020729,           0.0066347,            0.012512,             0.00793,             0.00793,             0.00793
                  25,            0.030526,            0.010177,            0.013259,             0.71802,                   1,             0.84798,             0.59126,            0.018439,           0.0064276,            0.012485,             0.00784,             0.00784,             0.00784
                  26,            0.029011,           0.0094365,            0.012634,             0.71636,                   1,             0.84204,             0.61218,            0.021259,           0.0068404,            0.012514,             0.00775,             0.00775,             0.00775
                  27,            0.029544,           0.0097231,            0.011698,             0.69512,                   1,             0.82257,             0.44034,            0.021103,           0.0068166,            0.012167,             0.00766,             0.00766,             0.00766
                  28,             0.02831,           0.0095018,            0.011433,             0.71229,                   1,             0.83226,             0.57292,            0.018812,           0.0062403,             0.01206,             0.00757,             0.00757,             0.00757
                  29,            0.028807,            0.010145,            0.011898,             0.72334,                   1,             0.83243,             0.54007,            0.017362,           0.0062242,            0.011998,             0.00748,             0.00748,             0.00748
                  30,            0.027621,           0.0091242,            0.011179,             0.72821,                   1,             0.83342,             0.62734,             0.01651,           0.0062422,            0.011947,             0.00739,             0.00739,             0.00739
                  31,            0.027158,           0.0088653,            0.010791,             0.73283,                   1,             0.84865,             0.59826,            0.017311,           0.0065103,            0.011845,              0.0073,              0.0073,              0.0073
                  32,            0.027468,           0.0094391,            0.011097,             0.72964,                   1,             0.83372,             0.58411,            0.017352,           0.0063102,            0.012013,             0.00721,             0.00721,             0.00721
                  33,            0.027598,            0.010095,            0.010944,             0.72605,                   1,             0.85152,             0.56584,            0.016119,           0.0063048,            0.012188,             0.00712,             0.00712,             0.00712
                  34,            0.027853,           0.0086891,            0.010318,             0.72671,                   1,             0.84689,             0.61541,            0.017983,           0.0063097,            0.011849,             0.00703,             0.00703,             0.00703
                  35,            0.025607,           0.0092861,            0.010413,             0.72102,                   1,              0.8642,             0.56405,            0.018473,           0.0069272,            0.011667,             0.00694,             0.00694,             0.00694
                  36,            0.026105,           0.0095369,            0.010406,             0.73459,                   1,             0.84499,             0.62939,            0.018241,           0.0069542,            0.011575,             0.00685,             0.00685,             0.00685
                  37,            0.025477,           0.0096835,            0.009699,             0.73208,                   1,             0.83499,             0.61974,            0.014517,           0.0062162,            0.011395,             0.00676,             0.00676,             0.00676
                  38,            0.026952,           0.0096373,            0.009631,             0.72315,                   1,              0.8964,             0.68422,            0.014301,           0.0060512,            0.011201,             0.00667,             0.00667,             0.00667
                  39,            0.024902,           0.0087307,           0.0097358,             0.72836,                   1,             0.89982,             0.65125,            0.017432,           0.0059601,            0.011256,             0.00658,             0.00658,             0.00658
                  40,            0.023784,           0.0084074,           0.0098481,             0.74184,                   1,             0.84732,             0.60211,            0.018621,           0.0063381,            0.011298,             0.00649,             0.00649,             0.00649
                  41,            0.024922,           0.0087004,           0.0096711,             0.73927,                   1,              0.8522,             0.65136,            0.014876,           0.0061115,            0.011174,              0.0064,              0.0064,              0.0064
                  42,            0.023799,           0.0091438,           0.0092924,             0.74393,                   1,             0.91036,             0.68819,            0.016759,           0.0059345,            0.011087,             0.00631,             0.00631,             0.00631
                  43,            0.023415,           0.0091995,           0.0089888,             0.73644,                   1,             0.86723,             0.66597,            0.015267,           0.0064175,            0.011202,             0.00622,             0.00622,             0.00622
                  44,            0.023925,           0.0084159,           0.0087943,             0.72994,                   1,             0.89443,             0.67216,            0.015418,           0.0063341,            0.011041,             0.00613,             0.00613,             0.00613
                  45,            0.022515,           0.0081686,           0.0081975,              0.7423,                   1,             0.89938,             0.66723,            0.015058,           0.0065726,            0.010841,             0.00604,             0.00604,             0.00604
                  46,            0.022024,           0.0082786,           0.0086633,             0.73258,                   1,             0.91757,             0.70061,            0.015313,           0.0064022,            0.010793,             0.00595,             0.00595,             0.00595
                  47,            0.022979,           0.0083898,           0.0084447,             0.73101,             0.99328,              0.9182,             0.69094,            0.015001,           0.0063757,            0.010776,             0.00586,             0.00586,             0.00586
                  48,            0.023425,           0.0085553,           0.0091569,              0.7447,             0.99891,             0.91684,             0.70245,            0.015361,           0.0060558,            0.010908,             0.00577,             0.00577,             0.00577
                  49,            0.022151,           0.0076758,           0.0086846,             0.74077,                   1,             0.88969,             0.69793,            0.015859,           0.0064043,            0.010898,             0.00568,             0.00568,             0.00568
                  50,            0.021703,           0.0081552,           0.0083734,             0.73154,                   1,             0.87145,             0.68929,            0.014575,            0.006073,            0.011189,             0.00559,             0.00559,             0.00559
                  51,            0.021964,           0.0081422,           0.0084993,             0.74401,                   1,             0.90722,             0.68083,            0.013843,           0.0058434,            0.011002,              0.0055,              0.0055,              0.0055
                  52,            0.021843,           0.0086947,           0.0079778,             0.74203,                   1,              0.9215,             0.71427,            0.014071,           0.0058853,            0.010784,             0.00541,             0.00541,             0.00541
                  53,            0.021084,           0.0082404,           0.0080103,             0.73736,                   1,             0.91959,             0.72218,            0.013312,           0.0057669,             0.01056,             0.00532,             0.00532,             0.00532
                  54,            0.020944,           0.0081852,           0.0080233,             0.73153,                   1,             0.91218,             0.71135,            0.013674,           0.0062314,            0.010488,             0.00523,             0.00523,             0.00523
                  55,            0.020292,            0.008757,           0.0082107,             0.73591,                   1,             0.91291,             0.70299,            0.014584,           0.0061323,            0.010543,             0.00514,             0.00514,             0.00514
                  56,            0.019911,           0.0078461,           0.0079016,             0.74024,                   1,             0.91056,             0.75561,            0.014284,           0.0057384,            0.010674,             0.00505,             0.00505,             0.00505
                  57,            0.020594,           0.0076664,           0.0091142,             0.73703,                   1,             0.91281,             0.69516,             0.01512,           0.0063057,            0.010579,             0.00496,             0.00496,             0.00496
                  58,            0.020136,            0.008515,           0.0072868,             0.73302,                   1,             0.92071,              0.7396,            0.014984,           0.0070916,            0.010346,             0.00487,             0.00487,             0.00487
                  59,            0.020129,           0.0080778,           0.0079083,             0.75111,                   1,             0.93735,             0.74361,            0.014625,           0.0066674,            0.010293,             0.00478,             0.00478,             0.00478
                  60,            0.020013,           0.0076428,            0.007322,             0.74885,                   1,             0.97966,             0.75178,            0.014578,            0.006815,            0.010347,             0.00469,             0.00469,             0.00469
                  61,            0.020315,           0.0083889,           0.0066448,             0.73429,              0.9982,             0.96047,             0.72926,             0.01594,           0.0071177,            0.010116,              0.0046,              0.0046,              0.0046
                  62,            0.018961,           0.0078365,           0.0072054,             0.86515,             0.90408,                0.97,             0.76449,             0.01375,           0.0065479,           0.0096653,             0.00451,             0.00451,             0.00451
                  63,            0.018789,            0.007874,           0.0064977,             0.84271,             0.91818,             0.97319,             0.76926,            0.015379,           0.0065579,           0.0093486,             0.00442,             0.00442,             0.00442
                  64,            0.018488,           0.0073517,           0.0066493,             0.83089,             0.91818,             0.97774,             0.77179,            0.014149,           0.0064066,           0.0090582,             0.00433,             0.00433,             0.00433
